date,open,high,low,close,volume
2025-07-14 13:25:00,209.31,209.31,208.99,209.0,224428.0
2025-07-14 13:20:00,209.09,209.32,209.07,209.31,298884.0
2025-07-14 13:15:00,208.91,209.23,208.91,209.08,271127.0
2025-07-14 13:10:00,208.79,208.96,208.78,208.93,215786.0
2025-07-14 13:05:00,208.94,208.98,208.78,208.79,157739.0
2025-07-14 13:00:00,208.89,209.0,208.88,208.93,183129.0
2025-07-14 12:55:00,209.07,209.07,208.9,208.9,156383.0
2025-07-14 12:50:00,209.06,209.24,208.99,209.02,245379.0
2025-07-14 12:45:00,208.96,209.06,208.95,209.04,136870.0
2025-07-14 12:40:00,208.93,209.14,208.85,208.95,234885.0
2025-07-14 12:35:00,209.09,209.13,208.92,208.93,165079.0
2025-07-14 12:30:00,208.85,209.11,208.79,209.07,207019.0
2025-07-14 12:25:00,208.77,208.92,208.77,208.84,159353.0
2025-07-14 12:20:00,208.99,209.09,208.68,208.78,229693.0
2025-07-14 12:15:00,208.93,209.02,208.79,208.99,219109.0
2025-07-14 12:10:00,209.15,209.18,208.9,208.95,228238.0
2025-07-14 12:05:00,208.91,209.17,208.9,209.16,24564.0
2025-07-14 12:00:00,208.84,209.03,208.77,208.92,235051.0
2025-07-14 11:55:00,208.87,208.92,208.71,208.83,418215.0
2025-07-14 11:50:00,208.67,208.92,208.56,208.88,290539.0
2025-07-14 11:45:00,208.86,208.86,208.65,208.69,211771.0
2025-07-14 11:40:00,208.99,209.14,208.87,208.89,417592.0
2025-07-14 11:35:00,208.63,208.99,208.63,208.99,434618.0
2025-07-14 11:30:00,208.77,208.88,208.58,208.63,379746.0
2025-07-14 11:25:00,208.48,208.77,208.48,208.76,305786.0
2025-07-14 11:20:00,208.57,208.58,208.31,208.48,223470.0
2025-07-14 11:15:00,208.51,208.59,208.22,208.58,391810.0
2025-07-14 11:10:00,208.51,208.68,208.49,208.51,232073.0
2025-07-14 11:05:00,208.49,208.72,208.46,208.51,335443.0
2025-07-14 11:00:00,208.46,208.89,208.39,208.49,424439.0
2025-07-14 10:55:00,208.54,208.75,208.45,208.49,305518.0
2025-07-14 10:50:00,208.3,208.64,208.26,208.53,334827.0
2025-07-14 10:45:00,208.47,208.49,208.19,208.29,362231.0
2025-07-14 10:40:00,208.26,208.6,208.24,208.48,358563.0
2025-07-14 10:35:00,207.97,208.38,207.83,208.27,420628.0
2025-07-14 10:30:00,208.07,208.28,207.95,207.98,404242.0
2025-07-14 10:25:00,208.46,208.56,207.97,208.08,517202.0
2025-07-14 10:20:00,208.45,208.78,208.32,208.46,455637.0
2025-07-14 10:15:00,208.4,208.64,208.34,208.48,488074.0
2025-07-14 10:10:00,207.92,208.41,207.83,208.38,679715.0
2025-07-14 10:05:00,207.74,208.15,207.54,207.9,889329.0
2025-07-14 10:00:00,207.89,207.96,207.62,207.75,817245.0
2025-07-14 09:55:00,208.34,208.35,207.68,207.87,939108.0
2025-07-14 09:50:00,208.33,208.56,208.1,208.36,843546.0
2025-07-14 09:45:00,208.27,208.4,207.96,208.3,1236254.0
2025-07-14 09:40:00,209.5,209.51,208.25,208.27,1250436.0
2025-07-14 09:35:00,209.72,209.84,209.29,209.5,930160.0
2025-07-14 09:30:00,209.93,210.91,209.57,209.72,2363616.0
2025-07-11 15:55:00,211.29,211.41,211.03,211.08,2528078.0
2025-07-11 15:50:00,211.3,211.41,211.06,211.27,686704.0
2025-07-11 15:45:00,211.08,211.21,211.03,211.19,217602.0
2025-07-11 15:40:00,211.17,211.23,211.03,211.08,261690.0
2025-07-11 15:35:00,211.15,211.2,211.07,211.17,226785.0
2025-07-11 15:30:00,211.13,211.16,211.05,211.16,237044.0
2025-07-11 15:25:00,211.26,211.3,211.15,211.15,179416.0
2025-07-11 15:20:00,211.11,211.29,211.11,211.25,184909.0
2025-07-11 15:15:00,210.99,211.17,210.97,211.11,250364.0
2025-07-11 15:10:00,211.01,211.09,210.84,210.98,242472.0
2025-07-11 15:05:00,210.93,211.04,210.62,211.01,333305.0
2025-07-11 15:00:00,211.12,211.14,210.88,210.93,233562.0
2025-07-11 14:55:00,211.16,211.19,211.03,211.13,179876.0
2025-07-11 14:50:00,211.31,211.34,211.13,211.16,166010.0
2025-07-11 14:45:00,211.42,211.46,211.29,211.29,138046.0
2025-07-11 14:40:00,211.37,211.51,211.36,211.4,120777.0
2025-07-11 14:35:00,211.36,211.46,211.34,211.36,164279.0
2025-07-11 14:30:00,211.41,211.48,211.3,211.34,178766.0
2025-07-11 14:25:00,211.47,211.55,211.37,211.41,285866.0
2025-07-11 14:20:00,211.39,211.54,211.39,211.46,232646.0
2025-07-11 14:15:00,211.33,211.41,211.3,211.4,182951.0
2025-07-11 14:10:00,211.43,211.45,211.28,211.36,203396.0
2025-07-11 14:05:00,211.3,211.65,211.28,211.43,349876.0
2025-07-11 14:00:00,211.2,211.32,211.19,211.31,220906.0
2025-07-11 13:55:00,211.12,211.22,211.11,211.22,151056.0
2025-07-11 13:50:00,211.19,211.23,211.09,211.12,136344.0
2025-07-11 13:45:00,211.15,211.2,211.09,211.18,116191.0
2025-07-11 13:40:00,211.02,211.17,210.99,211.16,204062.0
2025-07-11 13:35:00,211.18,211.22,210.96,211.02,158748.0
2025-07-11 13:30:00,211.16,211.21,211.08,211.17,138627.0
2025-07-11 13:25:00,211.03,211.23,211.03,211.17,188419.0
2025-07-11 13:20:00,211.14,211.14,211.03,211.03,191025.0
2025-07-11 13:15:00,211.04,211.14,211.02,211.12,211150.0
2025-07-11 13:10:00,211.18,211.18,210.99,211.05,203642.0
2025-07-11 13:05:00,211.1,211.28,211.08,211.18,307265.0
2025-07-11 13:00:00,211.02,211.12,210.9,211.12,202929.0
2025-07-11 12:55:00,210.9,211.07,210.89,211.02,283443.0
2025-07-11 12:50:00,210.73,210.89,210.71,210.89,182108.0
2025-07-11 12:45:00,210.53,210.76,210.5,210.72,281697.0
2025-07-11 12:40:00,210.52,210.69,210.51,210.54,240513.0
2025-07-11 12:35:00,210.56,210.62,210.49,210.51,258152.0
2025-07-11 12:30:00,210.62,210.67,210.46,210.57,255320.0
2025-07-11 12:25:00,210.76,210.84,210.6,210.63,231989.0
2025-07-11 12:20:00,210.85,210.92,210.77,210.77,166132.0
2025-07-11 12:15:00,210.86,211.05,210.81,210.85,263502.0
2025-07-11 12:10:00,210.85,210.96,210.77,210.84,195126.0
2025-07-11 12:05:00,210.76,210.87,210.72,210.84,182043.0
2025-07-11 12:00:00,210.67,210.89,210.67,210.75,277580.0
2025-07-11 11:55:00,210.55,210.69,210.51,210.66,234534.0
2025-07-11 11:50:00,210.6,210.63,210.43,210.55,430173.0
2025-07-11 11:45:00,211.14,211.15,210.57,210.6,409994.0
2025-07-11 11:40:00,210.85,211.2,210.85,211.13,417113.0
2025-07-11 11:35:00,210.93,210.95,210.67,210.83,358177.0
2025-07-11 11:30:00,210.82,210.98,210.78,210.94,252560.0
2025-07-11 11:25:00,210.86,210.92,210.75,210.82,229177.0
2025-07-11 11:20:00,210.78,211.05,210.75,210.87,323421.0
2025-07-11 11:15:00,210.63,210.78,210.48,210.77,502155.0
2025-07-11 11:10:00,210.86,210.86,210.63,210.63,347665.0
2025-07-11 11:05:00,211.09,211.14,210.78,210.86,279062.0
2025-07-11 11:00:00,210.96,211.12,210.9,211.1,296193.0
2025-07-11 10:55:00,210.89,211.04,210.8,210.97,353964.0
2025-07-11 10:50:00,211.19,211.21,210.82,210.91,345857.0
2025-07-11 10:45:00,211.16,211.3,211.09,211.17,315258.0
2025-07-11 10:40:00,211.33,211.39,211.04,211.17,330168.0
2025-07-11 10:35:00,211.64,211.66,211.28,211.35,323139.0
2025-07-11 10:30:00,211.78,211.79,211.4,211.63,385649.0
2025-07-11 10:25:00,212.08,212.08,211.74,211.79,320041.0
2025-07-11 10:20:00,211.64,212.12,211.58,212.09,649681.0
2025-07-11 10:15:00,211.7,211.7,211.48,211.65,386738.0
2025-07-11 10:10:00,211.41,211.78,211.33,211.7,534289.0
2025-07-11 10:05:00,211.01,211.48,210.94,211.4,492257.0
2025-07-11 10:00:00,211.0,211.18,210.88,211.03,460363.0
2025-07-11 09:55:00,210.7,211.12,210.62,210.97,523455.0
2025-07-11 09:50:00,210.56,210.79,210.43,210.69,457985.0
2025-07-11 09:45:00,210.18,210.67,209.87,210.57,696214.0
2025-07-11 09:40:00,210.38,210.38,209.87,210.19,698002.0
2025-07-11 09:35:00,210.69,210.87,209.99,210.38,817196.0
2025-07-11 09:30:00,210.57,211.02,209.88,210.71,2555952.0
2025-07-10 15:55:00,212.52,212.58,212.17,212.43,1484945.0
2025-07-10 15:50:00,212.61,212.61,212.05,212.54,1055844.0
2025-07-10 15:45:00,212.86,212.96,212.54,212.62,856040.0
2025-07-10 15:40:00,212.85,213.02,212.83,212.88,374933.0
2025-07-10 15:35:00,212.77,212.91,212.71,212.86,376801.0
2025-07-10 15:30:00,212.58,212.78,212.55,212.78,321868.0
2025-07-10 15:25:00,212.67,212.8,212.58,212.58,307999.0
2025-07-10 15:20:00,212.73,212.79,212.62,212.66,272741.0
2025-07-10 15:15:00,212.82,212.96,212.71,212.74,298003.0
2025-07-10 15:10:00,212.89,212.91,212.68,212.81,258649.0
2025-07-10 15:05:00,213.02,213.45,212.83,212.89,565727.0
2025-07-10 15:00:00,212.92,213.06,212.81,213.03,228261.0
2025-07-10 14:55:00,213.01,213.13,212.88,212.93,297804.0
2025-07-10 14:50:00,212.97,213.14,212.83,213.03,320599.0
2025-07-10 14:45:00,212.74,213.0,212.72,212.96,224005.0
2025-07-10 14:40:00,212.65,212.82,212.65,212.74,165279.0
2025-07-10 14:35:00,212.9,212.9,212.64,212.65,149404.0
2025-07-10 14:30:00,212.61,212.97,212.57,212.91,252603.0
2025-07-10 14:25:00,212.96,212.97,212.58,212.59,299481.0
2025-07-10 14:20:00,212.83,213.0,212.77,212.96,262750.0
2025-07-10 14:15:00,212.52,212.9,212.47,212.84,214297.0
2025-07-10 14:10:00,212.56,212.64,212.4,212.51,218675.0
2025-07-10 14:05:00,212.38,212.56,212.37,212.56,183489.0
2025-07-10 14:00:00,212.4,212.44,212.32,212.39,183302.0
2025-07-10 13:55:00,212.57,212.67,212.39,212.39,216678.0
2025-07-10 13:50:00,212.5,212.58,212.46,212.56,164118.0
2025-07-10 13:45:00,212.61,212.65,212.51,212.51,152835.0
2025-07-10 13:40:00,212.8,212.81,212.57,212.6,234171.0
2025-07-10 13:35:00,213.13,213.16,212.75,212.79,434022.0
2025-07-10 13:30:00,212.63,213.16,212.56,213.14,461568.0
2025-07-10 13:25:00,212.51,212.77,212.48,212.62,375395.0
2025-07-10 13:20:00,212.47,212.55,212.38,212.51,269267.0
2025-07-10 13:15:00,212.13,212.45,212.0,212.45,293154.0
2025-07-10 13:10:00,212.05,212.22,212.05,212.14,266074.0
2025-07-10 13:05:00,212.06,212.12,211.93,212.06,243289.0
2025-07-10 13:00:00,212.0,212.14,211.99,212.06,185637.0
2025-07-10 12:55:00,212.03,212.29,211.99,212.01,289011.0
2025-07-10 12:50:00,212.12,212.22,211.96,212.03,180975.0
2025-07-10 12:45:00,212.27,212.29,212.04,212.11,220180.0
2025-07-10 12:40:00,212.25,212.35,212.19,212.28,303222.0
2025-07-10 12:35:00,211.95,212.28,211.88,212.24,394694.0
2025-07-10 12:30:00,212.07,212.15,211.86,211.98,364041.0
2025-07-10 12:25:00,212.02,212.18,211.95,212.08,408288.0
2025-07-10 12:20:00,212.12,212.14,211.94,212.02,290438.0
2025-07-10 12:15:00,212.04,212.19,211.94,212.12,482766.0
2025-07-10 12:10:00,212.18,212.25,211.84,212.03,398350.0
2025-07-10 12:05:00,212.29,212.33,211.98,212.17,407616.0
2025-07-10 12:00:00,212.38,212.39,212.16,212.28,241255.0
2025-07-10 11:55:00,212.43,212.57,212.23,212.4,405682.0
2025-07-10 11:50:00,212.9,212.91,212.36,212.42,377673.0
2025-07-10 11:45:00,213.11,213.18,212.65,212.89,428628.0
2025-07-10 11:40:00,212.84,213.14,212.82,213.09,358778.0
2025-07-10 11:35:00,212.61,212.94,212.45,212.84,383145.0
2025-07-10 11:30:00,213.0,213.07,212.56,212.61,415534.0
2025-07-10 11:25:00,213.09,213.28,212.85,212.98,502271.0
2025-07-10 11:20:00,213.14,213.17,212.93,213.12,422934.0
2025-07-10 11:15:00,212.94,213.31,212.85,213.12,859979.0
2025-07-10 11:10:00,212.77,212.99,212.6,212.96,389265.0
2025-07-10 11:05:00,212.78,212.9,212.45,212.77,434948.0
2025-07-10 11:00:00,212.36,212.81,212.32,212.78,481193.0
2025-07-10 10:55:00,212.56,212.63,212.03,212.36,631677.0
2025-07-10 10:50:00,212.54,212.71,212.36,212.55,669707.0
2025-07-10 10:45:00,213.38,213.48,212.5,212.54,1035759.0
2025-07-10 10:40:00,212.67,213.46,212.61,213.35,1334965.0
2025-07-10 10:35:00,212.42,213.06,212.39,212.67,1191317.0
2025-07-10 10:30:00,212.03,212.46,211.92,212.41,804997.0
2025-07-10 10:25:00,211.53,212.29,211.44,212.01,922566.0
2025-07-10 10:20:00,211.74,211.74,211.34,211.52,487958.0
2025-07-10 10:15:00,211.4,211.89,211.33,211.73,592314.0
2025-07-10 10:10:00,210.96,211.67,210.92,211.37,549875.0
2025-07-10 10:05:00,211.51,211.55,210.71,210.95,699907.0
2025-07-10 10:00:00,211.27,211.85,210.99,211.52,908754.0
2025-07-10 09:55:00,210.84,211.28,210.65,211.27,678337.0
2025-07-10 09:50:00,210.78,211.22,210.53,210.85,607100.0
2025-07-10 09:45:00,210.59,211.11,210.51,210.81,587738.0
2025-07-10 09:40:00,210.71,211.1,210.52,210.59,665186.0
2025-07-10 09:35:00,210.34,210.78,210.03,210.72,579471.0
2025-07-10 09:30:00,210.43,211.14,210.16,210.34,2312082.0
2025-07-09 15:55:00,210.89,211.33,210.89,211.11,3242365.0
2025-07-09 15:50:00,210.27,210.95,210.22,210.89,1348748.0
2025-07-09 15:45:00,210.3,210.37,210.2,210.26,451865.0
2025-07-09 15:40:00,210.25,210.33,210.14,210.31,428327.0
2025-07-09 15:35:00,210.04,210.25,209.99,210.25,401843.0
2025-07-09 15:30:00,209.86,210.03,209.74,210.03,318087.0
2025-07-09 15:25:00,209.8,210.0,209.8,209.89,268677.0
2025-07-09 15:20:00,209.84,209.98,209.73,209.8,309194.0
2025-07-09 15:15:00,209.82,209.93,209.71,209.86,284389.0
2025-07-09 15:10:00,209.66,209.81,209.65,209.81,266129.0
2025-07-09 15:05:00,209.91,209.93,209.67,209.68,312973.0
2025-07-09 15:00:00,209.95,210.18,209.86,209.9,539206.0
2025-07-09 14:55:00,209.98,210.03,209.89,209.95,303770.0
2025-07-09 14:50:00,209.77,210.06,209.74,209.97,467743.0
2025-07-09 14:45:00,209.65,209.81,209.65,209.77,258327.0
2025-07-09 14:40:00,209.81,209.84,209.62,209.66,218908.0
2025-07-09 14:35:00,209.78,209.88,209.74,209.82,188992.0
2025-07-09 14:30:00,209.73,209.88,209.66,209.78,292184.0
2025-07-09 14:25:00,209.6,209.73,209.58,209.72,255922.0
2025-07-09 14:20:00,209.7,209.78,209.56,209.62,258762.0
2025-07-09 14:15:00,209.92,209.92,209.58,209.72,391759.0
2025-07-09 14:10:00,209.61,209.99,209.56,209.93,478477.0
2025-07-09 14:05:00,209.35,209.64,209.34,209.59,357906.0
2025-07-09 14:00:00,209.22,209.52,209.15,209.36,395591.0
2025-07-09 13:55:00,209.27,209.37,209.15,209.22,278568.0
2025-07-09 13:50:00,209.14,209.28,209.0,209.28,398487.0
2025-07-09 13:45:00,208.95,209.18,208.94,209.15,292790.0
2025-07-09 13:40:00,208.92,209.06,208.88,208.94,328106.0
2025-07-09 13:35:00,208.93,209.06,208.85,208.91,241572.0
2025-07-09 13:30:00,208.91,208.99,208.73,208.92,338682.0
2025-07-09 13:25:00,208.95,209.0,208.72,208.92,344906.0
2025-07-09 13:20:00,208.9,209.05,208.61,208.93,418241.0
2025-07-09 13:15:00,208.46,208.94,208.4,208.88,415798.0
2025-07-09 13:10:00,208.6,208.71,208.47,208.47,337784.0
2025-07-09 13:05:00,208.32,208.65,208.31,208.59,313043.0
2025-07-09 13:00:00,208.2,208.36,207.98,208.3,346038.0
2025-07-09 12:55:00,208.37,208.41,208.2,208.2,250932.0
2025-07-09 12:50:00,208.25,208.39,208.18,208.37,246304.0
2025-07-09 12:45:00,207.83,208.39,207.78,208.22,542883.0
2025-07-09 12:40:00,207.61,207.89,207.58,207.81,271151.0
2025-07-09 12:35:00,207.74,207.76,207.62,207.63,208268.0
2025-07-09 12:30:00,207.81,207.9,207.73,207.74,269417.0
2025-07-09 12:25:00,207.83,207.93,207.68,207.81,266804.0
2025-07-09 12:20:00,207.7,207.9,207.67,207.8,237065.0
2025-07-09 12:15:00,207.61,207.8,207.54,207.69,284122.0
2025-07-09 12:10:00,208.11,208.17,207.54,207.63,498418.0
2025-07-09 12:05:00,208.18,208.21,208.05,208.11,439053.0
2025-07-09 12:00:00,207.75,208.21,207.73,208.16,538605.0
2025-07-09 11:55:00,207.35,207.77,207.32,207.74,391498.0
2025-07-09 11:50:00,207.51,207.54,207.27,207.35,402316.0
2025-07-09 11:45:00,207.89,207.89,207.46,207.56,488745.0
2025-07-09 11:40:00,207.71,207.88,207.63,207.87,267605.0
2025-07-09 11:35:00,207.65,207.85,207.51,207.71,409224.0
2025-07-09 11:30:00,207.82,207.97,207.54,207.64,453038.0
2025-07-09 11:25:00,207.64,207.95,207.58,207.81,657287.0
2025-07-09 11:20:00,207.36,207.66,207.22,207.66,615681.0
2025-07-09 11:15:00,207.59,207.59,207.23,207.39,598040.0
2025-07-09 11:10:00,207.54,207.66,207.38,207.59,590996.0
2025-07-09 11:05:00,207.56,207.61,207.32,207.54,743241.0
2025-07-09 11:00:00,207.64,207.76,207.44,207.56,709946.0
2025-07-09 10:55:00,208.11,208.15,207.46,207.66,808355.0
2025-07-09 10:50:00,208.36,208.4,208.0,208.11,725040.0
2025-07-09 10:45:00,208.86,208.98,208.26,208.37,731920.0
2025-07-09 10:40:00,209.11,209.13,208.8,208.85,460873.0
